	2696894	0.0	0.0	NEG	
اهبل 	1049	-0.00148965480056	0.0441466851527	NEG	
رووعه 	1098	0.070017637362	-0.0099283598146	POS	
بنت اللبوه 	14	-0.00882165396173	0.0401996504302	NEG	
فرفوور 	6	0.00198096086167	0.0182637213208	NEG	
طلعتي كور"واطيا" 	0	0	0	NEG	
يعني مش 	0	0	0	NEG	
حقير 	1340	-0.0103082710367	0.0484842807093	NEG	
كويس 	766	0.0346168979799	0.0236413944875	POS	
عظيم 	9686	0.0607390116882	0.0144572909792	POS	
يشل جيش 	0	0	0	NEG	
ضحكته جامده 	1	0	0	NEG	
مستفز 	179	0.00284002369274	0.0359768061615	NEG	
الكلب دي 	48	-0.00458008278649	0.0316781392179	NEG	
خنيث 	827	-0.0402745925748	0.054051349172	NEG	
ديوس 	18	0.0055609739352	-0.00200619404109	POS	
وثوري بحترمك 	0	0	0	NEG	
ارهابى 	16	0.0168573892705	0.0251477548106	NEG	
عبد السيسي 	15	-0.020325222395	0.0324186496055	NEG	
ايمانك 	95	0.0382439359601	0.00949411112407	POS	
دكر 	212	0.0129844003647	0.0307922392231	NEG	
فظيعه 	523	0.0342782566712	0.0209600432542	POS	
اتسجنو 	22	-0.0075387402471	0.0257064550089	NEG	
محنكه 	81	0.0414137159216	0.00886283844281	POS	
اخر تعيس 	0	0	0	NEG	
شبه فلان 	5	-0.0164270827968	0.0325519991493	NEG	
جامده حبيتها 	1	0	0.0325519991493	NEG	
خفيفه 	2652	0.0436227990623	0.0223500991878	POS	
معرص 	204	-0.0193961548389	0.0424804320594	NEG	
لذيذه 	1395	0.0630616923946	0.00297109471486	POS	
بني قديم 	6	0.0155931627671	0.0325519991493	NEG	
عصبيه 	790	0.0169289406917	0.0361608641415	NEG	
صوفي 	933	0.0323394824206	0.0261819057062	POS	
شرموطه 	1471	-0.0571616515953	0.0654167819369	NEG	
قذر 	1605	-0.0188089940518	0.0493668505221	NEG	
شعب مصر 	1252	0.0269042139984	0.0213801389686	POS	
غالي علي 	105	0.0530452523716	-0.0098910641273	POS	
سيس 	5050	0.0270385757875	0.0402225897802	NEG	
جسمها جامد 	42	-0.00856225862899	0.0370480955991	NEG	
متحجر 	244	0.0109830352397	0.0254153784234	NEG	
امنجي 	353	-0.00136384872378	0.0422006561108	NEG	
يفرقش عنهم 	2	0.0332072234677	0.0166134446091	POS	
سيء 	6118	0.0407020565015	0.0297879807579	POS	
عبيطه 	863	0.0284180707133	0.0269674858428	POS	
رموطه 	1486	-0.0571351323704	0.0655143414394	NEG	
تتجزر 	1	0	0.0655143414394	NEG	
حيوان 	2792	0.00664278610787	0.0470503196964	NEG	
يسحر 	318	0.0394226299519	0.0199555008544	POS	
غلابه 	1071	0.00991720355544	0.0381639699281	NEG	
اموره متقوليش 	1	0.00991720355544	0	POS	
قرده 	564	0.0182889373068	0.032358339377	NEG	
وسخه 	7447	-0.00522227655046	0.0602051344159	NEG	
وطني 	7775	0.0393758314142	0.0336203708934	POS	
مؤذي 	403	0.0258670689418	0.0312852956577	NEG	
قدوس 	211	0.0344982663688	0.0164115887987	POS	
حاقد 	481	-0.00415192315756	0.0380884829728	NEG	
كبري قصر النيل 	0	0	0	NEG	
اتهبلت 	11	0.0420490724292	0.0137498078242	POS	
مفتريه	162	0.0214161616633	0.0243389744166	NEG	
حريمه 	227	0.0205959665273	0.0249433175999	NEG	
جدار 	4848	0.0365849184915	0.0328591884405	POS	
بتاع سموحه 	2	0.0332072234677	0.0166134446091	POS	
روقني 	262	0.0507379629686	0.00315221460297	POS	
فتوكه 	6	-0.0164270827968	0.0443438702106	NEG	
عسل 	4475	0.0504802853027	0.0218545499201	POS	
عاقل ومحترم 	0	0	0	NEG	
جامده 	2982	0.0185295091674	0.0432354106451	NEG	
ام كس مدود 	0	0	0	NEG	
مش لذيذ 	0	0	0	NEG	
كان عظيم 	0	0	0	NEG	
جدعان 	1095	-0.00915667626701	0.0463522823931	NEG	
سياسي 	8915	0.0237288545769	0.0404040602385	NEG	
بالفيس مستواهن 	1	0	0.0404040602385	NEG	
نجس 	1889	-0.00789011702621	0.0466088692543	NEG	
رزل 	75	0.00500070167745	0.0365926325356	NEG	
واسع العطاء 	29	0.0641471147994	-0.0297381623716	POS	
وطنيه 	5323	0.0259243743028	0.0372152518228	NEG	
متخوبق 	0	0	0	NEG	
مريض مريض 	0	0	0	NEG	
