	2817614	0.0	0.0	NEG	
حقير	4148	-0.00302380092047	0.0511379189794	NEG	NEG
مثقف	2526	0.032664415443	0.0260620515644	POS	POS
دماغها	1195	0.0291600795557	0.0302525711029	NEG	Neutral
سيء	9289	0.0503057759866	0.0261528393692	POS	NEG
ودود	978	0.0654706310949	-0.0176346523919	POS	POS
مركز	18801	0.0469833426085	0.0393027379403	POS	POS
زانيه	2524	0.0255555199251	0.0382681621394	NEG	NEG
بن المتناكه	302	-0.0353948927874	0.0547107383256	NEG	NEG
مسليه	422	0.03980887772	0.0179849941443	POS	POS
عبد الروس	2	0	0.0179849941443	NEG	NEG
صحي	40236	0.0495073044742	0.0459928144344	POS	POS
كان عظيم	48	-0.0225737355037	0.0420792279365	NEG	POS
صدامي	217	0.0190611194479	0.0247987445808	NEG	NEG
بحبها	1054	0.0553024294439	0.00991198936888	POS	POS
بهتم بيه	19	0.0471981428875	-0.0115355638869	POS	POS
جميل	55606	0.0994662147791	0.00889268518671	POS	POS
cool	3253	0.0681200768781	-0.000939543030374	POS	POS
ابن الحيوان	40	-0.0271643746358	0.0407351689667	NEG	NEG
غلابه	1687	0.0219120437355	0.0330446093417	NEG	POS
داهيه	4080	0.015174179117	0.0446877544197	NEG	NEG
حاقد	2926	0.0131960272295	0.0370860664412	NEG	NEG
جدعه	914	0.0469675847616	0.0123234446077	POS	POS
تتكلميش	64	0.0247732976928	0.0248144088927	NEG	Neutral
بن اﻷحبة	1	0	0.0248144088927	NEG	NEG
كتكوت	1437	0.0408053848533	0.0235469821089	POS	POS
قادر	6222	0.0370323895293	0.0297488024122	POS	POS
ممحونه	4167	-0.043538806434	0.0755036004814	NEG	NEG
اصلا واضح	11	0.0191762204297	0.0320461084355	NEG	Neutral
عادل	9910	0.0379181984253	0.0314200810918	POS	POS
وطني	18260	0.0386156675515	0.0405499863747	NEG	POS
عادي	42304	0.0500218064998	0.0453387767835	POS	Neutral
المخانيث	64	0.000692354873806	0.0375064066035	NEG	NEG
كبري قصر النيل	0	0	0	NEG	Neutral
مباريات	9151	0.0646236220516	0.0154812103934	POS	Neutral
معرص	2444	-0.0148966703398	0.0556201192081	NEG	NEG
كان محترم	174	0.0322656706634	0.0115861244707	POS	POS
مسالم	723	0.0175357368459	0.0287873341741	NEG	POS
حاجته نضيفه	0	0	0	NEG	POS
حريمه	608	0.0219119980288	0.0287880403548	NEG	Neutral
استغلالي	243	0.0223609360873	0.0229315734039	NEG	NEG
واطي	4234	0.0191745593157	0.0429373135171	NEG	NEG
ذوق	13828	0.0772308459152	0.00613281462899	POS	POS
سميع الدعاء	233	0.0424186433829	-0.000312437235933	POS	POS
طيبة جداا	1	0.0424186433829	0	POS	POS
تكفيخي	25	0.051713305322	-0.00746575868498	POS	NEG
انيقه	1540	0.0661728670383	-0.000186942512601	POS	POS
ضعيفه	3563	0.0315727187146	0.0322497236221	NEG	NEG
ابن المتناكه	284	-0.0326419927709	0.0541406748887	NEG	NEG
جبار	3953	0.0344083730374	0.0258640520881	POS	POS
كتوم	3304	0.0586557395562	0.00195690717063	POS	POS
متململ	37	0.0238420802747	0.0213498221217	POS	NEG
غالي علي	193	0.0607707154397	-0.01696191536	POS	POS
وشها جامد	1	0	-0.01696191536	POS	POS
طيب	45105	0.0616827825183	0.035071231802	POS	POS
فتوكه	7	-0.0359824365606	0.0340554391161	NEG	Neutral
أعمى القلب والنظر	0	0	0	NEG	NEG
ابن موزه	13	-0.0290764228452	0.0407338238927	NEG	NEG
مفتريه	160	0.0211450271948	0.0236255393046	NEG	NEG
اتبهدل	230	0.00192699889808	0.0386171513732	NEG	NEG
ابن الوسخه	897	-0.0129578938528	0.0502181578795	NEG	NEG
طعس تفووووو عليك	1	0	0.0502181578795	NEG	NEG
كلب	19456	0.014820853991	0.0594684844714	NEG	NEG
متحجر	738	0.0132568123009	0.0340732065548	NEG	NEG
باع	25846	0.0294561431894	0.050690220995	NEG	NEG
ناصريه	350	0.00523455308866	0.0374686366883	NEG	NEG
ابن الزانيه	72	0.000701006203116	0.0347588580383	NEG	NEG
الوسخه	4073	-0.00836026935869	0.0574695045311	NEG	NEG
عقدت ناس	0	0	0	NEG	NEG
وبتقولي	389	0.0347998884902	0.0179671727041	POS	Neutral
بالفيس مستواهن	1	0	0.0179671727041	NEG	Neutral
مزه	7423	0.0402653009576	0.0332285246311	POS	POS
كريه	7606	0.0101326023389	0.0516044485128	NEG	NEG
كريم	19367	0.0693433299887	0.0145490679757	POS	POS
نكسجي حمار	0	0	0	NEG	NEG
اشطه	1280	0.0403006180464	0.0187938020946	POS	POS
كلب تروتسكي	0	0	0	NEG	NEG
بيمثل قطاع	1	0	0	NEG	Neutral
حليم	3397	0.0578153993838	0.0108723004143	POS	POS
عبيطه	1474	0.0312887961966	0.0273702875224	POS	NEG
خطر	5526	0.0152828284996	0.0449518389801	NEG	NEG
مضحك	2603	0.0273265596725	0.0336139111857	NEG	POS
ساقط	3232	0.00529051941283	0.0477662236332	NEG	NEG
صح	138836	0.0623219358182	0.0592931862244	POS	POS
معجبه	2216	0.061821873326	0.005208458759	POS	POS
لبيه	11690	0.0260259991148	0.0413767773122	NEG	Neutral
رخمه	1882	0.0462427505842	0.0205173288723	POS	NEG
عبد السيسي	19	-0.0330340348113	0.036704667201	NEG	NEG
غريب	14418	0.0327298848116	0.0431642143787	NEG	NEG
مش لذيذ	0	0	0	NEG	NEG
لطيف احبك	1	0	0	NEG	POS
امنجي	792	-0.00274522975752	0.0453032803394	NEG	NEG
خائن	2572	-0.00151529426306	0.0469465686174	NEG	NEG
قمر	4847	0.0566327206565	0.0158169264899	POS	POS
مغرور	1785	0.036299840758	0.0250759008196	POS	NEG
مش هيقعد	3	0	0.0250759008196	NEG	NEG
الزواني	73	-0.0187240039121	0.0471341109791	NEG	NEG
